ontologyTermIRI	Atccode
http://www.UMCG.nl/ed559b9719f5dd48a9a95335e3f7a67a	A01AB04
http://www.UMCG.nl/24df2edcee0d7c23ab2ab3730d98642f	A01AB05
http://www.UMCG.nl/ae34f44129186920270828acbb61119b	A01AB06
http://www.UMCG.nl/54b440d488ce886799c838e2414bccc9	A01AB07
http://www.UMCG.nl/a324cb75705404eecc471f770cd31f1b	A01AB07
http://www.UMCG.nl/b83f4b83c54455fd856a5b88582402ce	A01AB07
http://www.UMCG.nl/ec2dbb5e803383953460dc66dcbf2a56	A01AB07
http://www.UMCG.nl/d72268af570323c7b49e5fee8f4aaeac	A01AB08
http://www.UMCG.nl/285fdd44a80c70e252ccf5c0d1b85245	A01AB09
http://www.UMCG.nl/9f0a610e90bba641d301475ea4a8f793	A01AB10
http://www.UMCG.nl/d5db495958a90be0ff00a6de87c0d60b	A01AB11
http://nl.dbpedia.org/resource/Hexetidine	A01AB12
http://www.UMCG.nl/24b2c1d7f34a886d6044b4820fc81661	A01AB12
http://www.UMCG.nl/d04f590048e5d2e1befab710b36f5d1b	A01AB12
http://www.UMCG.nl/d724f8ec46da53ab3bb659e552918585	A01AB12
http://www.UMCG.nl/e6f6c1838728533d707799bf727886f2	A01AB12
http://www.UMCG.nl/41df8858884957284c6e23ee6b062f1d	A01AB13
http://www.UMCG.nl/4ccc4222395e1f5aff6fb937b0d8e705	A01AB13
http://www.UMCG.nl/4d25c79d33ce2057ebb70f054d8fc23d	A01AB13
http://www.UMCG.nl/84c6dfd565d62401f97b9fd5d41deb59	A01AB13
http://www.UMCG.nl/89797388c4608542b0933c0664373a19	A01AB13
http://www.UMCG.nl/ba37253c46779608173aee72e91832ee	A01AB13
http://www.UMCG.nl/d8078f7ebd38c7b3fe2e3d43f0e10d98	A01AB13
http://www.UMCG.nl/ff4cb52b76643f3193c5b86a441ee97a	A01AB13
http://www.UMCG.nl/afcd630de2c03201ebb7744624e2b66e	A01AB14
http://www.UMCG.nl/b48a34f4680188cb60358e4f72351bab	A01AB15
http://www.UMCG.nl/3a609ae7b60ae75237bea9f09e0708f1	A01AB16
http://nl.dbpedia.org/resource/Metronidazol	A01AB17
http://www.UMCG.nl/0cb11116884802d7678f6ec8a2c540ed	A01AB17
http://www.UMCG.nl/4f87866a0234cffa3a187bcd00c76f2c	A01AB18
http://www.UMCG.nl/47e0337eeaab69a8f7b66e4f9a2e19c8	A01AB19
http://www.UMCG.nl/4cac2386bad965c3d92508b1425f1aab	A01AB19
http://www.UMCG.nl/50c3928150d1312f33f78617a05a8dff	A01AB19
http://www.UMCG.nl/c26bed4e7aa76795a9b310393157ea63	A01AB19
http://www.UMCG.nl/df7ee7d0ac203d0aa822d67214f1b8e8	A01AB19
http://www.UMCG.nl/d37f9e6ffb6b4f1be32f9d61e9d64a79	A01AB21
http://www.UMCG.nl/16a8daceb501390e52f2340581bb8488	A01AB22
http://www.UMCG.nl/55e67a653873732f8ca3976fda3a68bf	A01AB22
http://www.UMCG.nl/87460a460d3729bd158dc5cc6fe48349	A01AB22
http://www.UMCG.nl/c3624d6df055e755618f4b1263d64b1c	A01AB23
http://www.UMCG.nl/1fc0575e059aff66e8877f8d42ddc6e6	A01AC
http://www.UMCG.nl/29dc56de8739604612d7877c27a3f25e	A01AC
http://www.UMCG.nl/3240afd147e92ad0cab43f367da74aef	A01AC
http://www.UMCG.nl/51cb593ab6de48c0098ba7a24427a4f0	A01AC
http://www.UMCG.nl/5a18499d3f32b1051f8d53426655499b	A01AC
http://www.UMCG.nl/6350d97bc232fce05bad6db41d960bf4	A01AC
http://www.UMCG.nl/6de9e9f458d70e91d78a1ecc17293156	A01AC
http://www.UMCG.nl/824cd300fcfa6af913d9b093c11d5975	A01AC
http://www.UMCG.nl/9ddc27cf0ee465711cd057166e65166b	A01AC
http://www.UMCG.nl/b3af55bd13a32b8b7f86fca6e4a333bc	A01AC
http://www.UMCG.nl/ba36da4ead86cf1dbbfd5f67acb2807b	A01AC
